Asker Id	Answerer Id
1159674	2396539
12329261	12329261
5648159	303298
8491836	3033373
11601957	13302
11837857	3947172
11837857	2648798
9378913	293522
9378913	10505040
1654704	12329270
1654704	8841836
1654704	8346213
1654704	4414323
1654704	6066854
1654704	5667644
1654704	5363147
1654704	4417135
1654704	1385667
1654704	3882236
1654704	2659604
1654704	1626442
1654704	422437
12132452	2137382
12132452	5718868
12132452	4052086
12132452	10409952
12132452	2177361
12180795	8173870
4339178	3094533
12240463	10430944
11918096	12188799
12150871	1329652
7766563	5233410
5965291	5233410
12265449	12265449
495262	495262
140418	17212
140418	2326914
140418	261628
140418	222710
140418	3244
140418	122885
140418	3834
140418	161457
946874	2305236
946874	3706778
946874	880990
946874	7954167
946874	3074176
946874	472434
946874	162671
946874	245189
467380	1185067
467380	808166
467380	31158
467380	754929
467380	65358
467380	22656
467380	141172
467380	61974
1420265	24315
1420265	25216
1420265	81179
1402498	397817
1402498	10910450
1200879	1299394
1200879	10744692
1200879	1090206
221800	993547
221800	1206487
8605746	8605746
8605746	12263881
127257	1278771
127257	9172891
127257	2900270
127257	1438112
127257	3244
127257	3297642
127257	5430493
127257	1219280
127257	1679056
127257	1031591
127257	16940
127257	856488
127257	1375932
127257	1706263
127257	1353936
127257	673545
127257	76337
595119	7856081
595119	5564406
595119	9717257
595119	366904
595119	644812
692753	692753
197878	366064
197878	2391063
197878	1570597
197878	4177802
197878	2326841
197878	436341
197878	2642288
197878	80136
11796257	8138367
11796257	11982418
1038676	304371
716092	5618119
1990415	573418
1990415	1109689
1990415	3839344
1990415	5023964
1990415	738690
1990415	1229492
1469494	1469494
4812797	379550
6619353	3538012
12327533	5424988
9723014	1305465
1771963	1771963
1771963	1771963
5274	11178549
1900498	3980331
1900498	1319147
1900498	310574
977570	12172585
977570	1195620
1390272	10357907
1390272	3083337
12172559	426185
12172559	9367732
1014217	5641598
1014217	1749403
3813188	10769354
755120	12327093
755120	402022
1421651	12326978
12197009	5753969
859154	397817
79485	9363973
947950	2558060
947950	1383388
947950	1052745
947950	2967876
947950	345490
1173307	2663033
1173307	10518260
1173307	4950795
10182286	10505040
117499	597657
117499	1442492
91	8211528
91	397807
91	6200414
91	9252793
91	4702146
91	45091
12324967	52626
8688743	8688743
6185004	8287462
6185004	1368028
6185004	6205218
1267778	5945199
1267778	1172100
1267778	4930511
1267778	1115220
1267778	116614
604920	12534
604920	604920
124266	6678909
124266	3444173
124266	1524192
10626372	3703534
10626372	2798367
10626372	2367402
566745	566745
4965491	5649213
9046018	9046018
452199	6839364
452199	12159735
452199	48348
452199	490614
452199	238517
452199	664628
452199	114169
452199	105929
452199	1780760
452199	1788773
452199	215057
452199	538609
183367	232175
183367	414911
183367	280392
183367	1016
183367	41071
765955	23354
465408	460084
465408	483349
465408	8803505
465408	107409
465408	10145516
465408	9563698
465408	4537529
465408	164001
465408	2188550
465408	2601521
465408	48684
247902	12324229
247902	7936820
247902	3064934
247902	2065336
247902	2031765
247902	570150
1248050	2315972
1248050	8719433
1248050	127175
1248050	114029
1248050	77154
1248050	1409489
1248050	1184953
1248050	21645
1230189	1213289
1230189	1216339
1230189	2661158
1230189	3432690
1230189	1220616
1230189	2709214
1230189	7405558
1230189	5238041
1230189	1810774
1230189	2272490
1230189	4362879
1230189	3495563
1230189	1147482
1230189	1152004
2246362	4267940
2246362	2246362
2246362	1327525
2246362	654031
10182254	9455659
1088979	397817
9534196	784725
2357885	216074
2357885	9743064
1835622	1835622
11453246	12322967
80869	415523
80869	363751
80869	60724
80869	1143
80869	15639
80869	112194
80869	69083
80869	44586
80869	48910
80869	16306
80869	1942
80869	112194
80869	49241
80869	23283
5775000	5775000
979189	6080944
9578604	423497
9349992	8544565
9144753	9794003
6534534	3174766
537143	418488
12114551	1401699
12114551	2052655
12114551	10788327
12114551	1413329
12114551	2125444
12322330	1903240
1942656	424129
1942656	1874522
3724237	1046584
3724237	2517719
815847	815847
815847	1059614
1269846	1144396
239594	6812039
239594	239594
1425210	2691557
1425210	1425210
4830	76337
4830	223370
2050521	8398584
